rd_id,id,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.17169/refubium-44728,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.17169/refubium-44208,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.17169/refubium-39458,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-41993,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-34928.2,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-27284,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-42179,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-36113,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-38359,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-43451,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-41764,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-28414,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-27870,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-41299,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-30403,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-41300,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-29248,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-41374,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-38234,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-39646,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-42141,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-39296,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-29536,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-40747,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-27303,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-42842,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-28228,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-35885,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-38274,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-44212,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
