rd_id,id,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.18452/18970,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19159,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19386,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/19387,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/19389,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19390,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19391,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19392,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19655,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19792,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/19845,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
10.18452/20002,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/20145,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/20118,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/20458,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/20470,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/21379,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/22346,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
10.18452/22590,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/22757,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/24148.2,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/24171,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/24918,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/25559,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
10.18452/25561,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/26821,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/25394,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/27292,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/28068,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
10.18452/28039,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
10.18452/29124,score_percent,62.5,100,66.67,25,50,100,100,100,100,66.67,50,0,0,25,100,50,50,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,0
