"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/45017","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",4,0,0,1,3,0,2,2,1,0,1,0,10,3,1,1,2,1,2,4,6,1,0,0,"10.17169/refubium-44728"
"oai:refubium.fu-berlin.de:fub188/44496","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,2,0,2,2,1,0,1,0,9,1,1,1,1,0,2,0,2,0,0,0,"10.17169/refubium-44208"
"oai:refubium.fu-berlin.de:fub188/39740","2023","https://creativecommons.org/licenses/by-nd/4.0/",2,0,0,1,2,0,2,3,1,0,1,0,9,2,1,1,1,0,2,0,1,0,0,0,"10.17169/refubium-39458"
"oai:refubium.fu-berlin.de:fub188/42267","2024","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,2,1,0,1,0,5,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-41993"
"oai:refubium.fu-berlin.de:fub188/35211.2","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",3,0,0,1,1,0,2,1,1,0,1,0,7,2,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-34928.2"
"oai:refubium.fu-berlin.de:fub188/27528","2020","https://creativecommons.org/licenses/by/4.0/",3,5,0,1,6,0,2,1,1,0,1,0,20,2,1,1,1,2,2,3,0,0,0,0,"10.17169/refubium-27284"
"oai:refubium.fu-berlin.de:fub188/42454","2024","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,2,1,0,1,0,5,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-42179"
"oai:refubium.fu-berlin.de:fub188/36397","2022","https://creativecommons.org/licenses/by-sa/4.0/",4,3,0,1,1,0,2,1,1,0,1,0,9,2,1,1,4,1,2,0,0,0,0,0,"10.17169/refubium-36113"
"oai:refubium.fu-berlin.de:fub188/38643","2023","https://creativecommons.org/licenses/by/4.0/",4,2,0,1,1,0,2,1,1,0,1,0,11,1,1,1,1,0,2,1,3,1,0,0,"10.17169/refubium-38359"
"oai:refubium.fu-berlin.de:fub188/43736","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",10,0,0,1,1,0,2,2,1,0,1,0,7,1,1,1,0,0,2,2,0,0,0,0,"10.17169/refubium-43451"
