rd_id,id,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
http://dx.doi.org/10.18452/18919,score_percent,52.08,85.71,50,50,30,100,100,0,100,50,50,0,100,25,0,50,50,100,100,100,0,100,50,100,0,50,0,100,25,0,50,100,0
http://dx.doi.org/10.18452/20794,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/18916,score_percent,52.08,85.71,50,50,30,100,100,0,100,50,50,0,100,25,0,50,50,100,100,100,0,100,50,100,0,50,0,100,25,0,50,100,0
http://dx.doi.org/10.18452/19291,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/22346,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
http://dx.doi.org/10.18452/21328,score_percent,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.18452/25743,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/20470,score_percent,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.18452/22590,score_percent,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.18452/19389,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/19488,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/18915,score_percent,52.08,85.71,50,50,30,100,100,0,100,50,50,0,100,25,0,50,50,100,100,100,0,100,50,100,0,50,0,100,25,0,50,100,0
http://dx.doi.org/10.18452/18914,score_percent,52.08,85.71,50,50,30,100,100,0,100,50,50,0,100,25,0,50,50,100,100,100,0,100,50,100,0,50,0,100,25,0,50,100,0
http://dx.doi.org/10.18452/21236,score_percent,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.18452/25559,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/24918,score_percent,56.25,85.71,50,25,50,100,100,0,100,50,50,0,0,25,100,50,50,100,100,100,0,100,50,100,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.18452/19159,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
http://dx.doi.org/10.18452/19215,score_percent,60.42,85.71,50,50,50,100,100,0,100,50,50,0,100,25,100,50,50,100,100,100,0,100,50,100,0,50,0,100,25,100,50,100,0
