rd_id,id,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
https://doi.org/10.14279/depositonce-17170,score_percent,43.75,64.29,0,25,50,75,100,0,50,0,50,0,0,25,100,50,50,100,50,100,0,50,0,0,0,50,0,0,25,100,50,100,0
http://dx.doi.org/10.14279/depositonce-6988,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-9093,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-68,score_percent,58.33,100,66.67,25,40,100,100,100,100,66.67,50,0,0,25,0,50,100,100,100,100,100,100,0,100,100,50,0,0,25,0,50,100,100
http://dx.doi.org/10.14279/depositonce-6618,score_percent,41.67,64.29,16.67,25,40,75,100,0,50,16.67,50,0,0,25,50,50,50,100,50,100,0,50,50,0,0,50,0,0,25,50,50,100,0
http://dx.doi.org/10.14279/depositonce-10371,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
https://doi.org/10.14279/depositonce-18307,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
http://dx.doi.org/10.14279/depositonce-11710,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
https://doi.org/10.14279/depositonce-17868,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
https://doi.org/10.14279/depositonce-17910,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-8602,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
https://doi.org/10.14279/depositonce-17914,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-31.3,score_percent,58.33,100,66.67,25,40,100,100,100,100,66.67,50,0,0,25,0,50,100,100,100,100,100,100,0,100,100,50,0,0,25,0,50,100,100
https://doi.org/10.14279/depositonce-18464,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
https://doi.org/10.14279/depositonce-17076,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-76,score_percent,58.33,100,66.67,25,40,100,100,100,100,66.67,50,0,0,25,0,50,100,100,100,100,100,100,0,100,100,50,0,0,25,0,50,100,100
https://doi.org/10.14279/depositonce-18619,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
https://doi.org/10.14279/depositonce-16970,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-10054,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
http://dx.doi.org/10.14279/depositonce-10363.2,score_percent,66.67,100,66.67,25,60,100,100,100,100,66.67,50,0,0,25,100,50,100,100,100,100,100,100,0,100,100,50,0,0,25,100,50,100,100
http://dx.doi.org/10.14279/depositonce-4957,score_percent,64.58,100,83.33,25,50,100,100,100,100,83.33,50,0,0,25,50,50,100,100,100,100,100,100,50,100,100,50,0,0,25,50,50,100,100
